material_id,spacegroup_symbol,spacegroup_number,original_formula,discharged_formula,charged_formula,replaced_element,vpv,discharged_energy_fu_corrected,charged_energy_fu_corrected,applied_correction,discharged_E_above_hull,charged_E_above_hull,average_voltage,mace-neb1 (meV),mace-neb2,mace-neb3,mace-neb4,other_dir,orbv3-neb1 (meV),orbv3-neb2,orbv3-neb3,orbv3-neb4,mace_candidate,orbv3_candidate,TL_neb1 (meV),TL_neb2,TL_neb3,TL_neb4,TL_candidate
mp-778108,P1,1,Li2MnV(P2O7)2,Ca2MnV(P2O7)2,MnVP4O14,Li,13.64074119838253,-176.65860529716312,-159.0350572725354,-12.986,0.0228608746744161,0.0159883724149105,3.42,868.0,,,,,1058.0,,,,1,0,2114.3,,,,0
mp-779885,P2_1,4,Li2MnV(P2O7)2,Ca2MnV(P2O7)2,MnVP4O14,Li,13.59271598809186,-176.6440037434154,-159.0577062867783,-12.986,0.023524581662949,0.0148559217027646,3.41,948.0,,,,,1018.3,,,,1,0,1994.7,,,,0
mp-850939,P1,1,Li2MnV(P2O7)2,Ca2MnV(P2O7)2,MnVP4O14,Li,13.678102868663492,-176.68239567071072,-159.0360316037694,-12.986,0.0217794940586166,0.0159396558532103,3.42,1001.0,,,,,1157.9,,,,0,0,2130.7,,,,0
mp-778841,P1,1,Li2MnV(P2O7)2,Ca2MnV(P2O7)2,MnVP4O14,Li,13.614517858997454,-176.665559144714,-159.02012548350513,-12.986,0.0225447906948303,0.0167349618664243,3.42,1020.0,,,,,1059.1,,,,0,0,1739.5,,,,0
mp-760356,P1,1,Li2MnV(P2O7)2,Ca2MnV(P2O7)2,MnVP4O14,Li,13.57426166135838,-176.65266972973683,-159.0179005166776,-12.986,0.0231306731937923,0.0168462102078006,3.42,1176.0,,,,,1112.7,,,,0,0,1739.6,,,,0
mp-774309,P2_1,4,Li2MnV(P2O7)2,Ca2MnV(P2O7)2,MnVP4O14,Li,13.582525272562266,-176.6374899856922,-159.03590152371268,-12.986,0.0238206615594567,0.0159461598560461,3.41,1346.0,,,,,1403.0,,,,0,0,1843.8,,,,0
mp-761240,P2_1,4,Li2MnV(P2O7)2,Ca2MnV(P2O7)2,MnVP4O14,Li,13.5885616350564,-176.64802035442364,-159.05665339860414,-12.986,0.0233420084353017,0.0149085661114733,3.41,1259.0,,,,,1351.8,,,,0,0,2025.1,,,,0
mp-778486,P1,1,Li2MnV(P2O7)2,Ca2MnV(P2O7)2,MnVP4O14,Li,13.57986484003171,-176.65711994382772,-159.06392713151595,-12.986,0.0229283907351156,0.0145448794658831,3.41,1077.0,,,,,1150.4,,,,0,0,2064.9,,,,0
mp-761238,P1,1,Li2MnV(P2O7)2,Ca2MnV(P2O7)2,MnVP4O14,Li,13.624160541778934,-176.73818288364825,-158.98816759956404,-12.986,0.0192437116523649,0.0183328560634787,3.45,1330.0,1020.0,,,or_and,1356.9,1154.2,,,0,0,1733.7,1659.3,,,0
mp-777803,P2_1,4,Li2MnV(P2O7)2,Ca2MnV(P2O7)2,MnVP4O14,Li,13.672170428220545,-176.66666065447887,-159.0594314979373,-12.986,0.0224947220691547,0.0147696611448147,3.41,1372.0,,,,,1396.2,,,,0,0,2055.6,,,,0
